collision_id,project,sample,mtotal,gamma,b_inf,v_inf,targ_core,targ_Prot,targ_omega,targ_omega_norm,targ_theta,targ_phi,targ_particles,targ_mass,targ_radius_non_rotating,targ_radius_rotating,targ_bulk_density,targ_mean_density,targ_surface_temperature,targ_angular_momentum,proj_core,proj_Prot,proj_omega,proj_omega_norm,proj_theta,proj_phi,proj_particles,proj_mass,proj_radius_sp,proj_radius_eq,proj_bulk_density,proj_mean_density,proj_surface_temperature,proj_angular_momentum,lr_particles,lr_mass,lr_mass_norm,lr_core,lr_radius,lr_Prot,lr_omega,lr_condensed,lr_expanded,lr_liquid,lr_intermediate,lr_vapor,lr_mixing_ratio,lr_angular_momentum,slr_particles,slr_mass,slr_mass_norm,slr_core,slr_radius,slr_Prot,slr_omega,slr_condensed,slr_expanded,slr_liquid,slr_intermediate,slr_vapor,slr_mixing_ratio,slr_angular_momentum,debris_particles,debris_mass,debris_mass_norm,debris_iron,debris_angular_momentum,debris_condensed,debris_expanded,debris_liquid,debris_intermediate,debris_vapor,debris_mixing_ratio,debris_mean_altitude,debris_stddev_altitude,debris_mean_azimuth,debris_stddev_azimuth,total_angular_momentum,initial_orbital_energy,initial_orbital_angular_momentum,pim_lr_mass,pim_lr_mass_norm,pim_lr_core,pim_lr_radius,pim_lr_bulk_density,pim_lr_angular_momentum,pim_lr_omega,pim_lr_theta,iem_lr_mass,iem_lr_mass_norm,iem_debris_mass,iem_debris_mass_norm,edacm_lr_mass,edacm_lr_mass_norm,edacm_lr_core,edacm_slr_mass,edacm_slr_mass_norm,edacm_regime,Q_R,Q_RD_star_prime,phi,RC1,v_esc_prime,v_erosion,v_supercat,b_imp,v_imp,r_crit,safronov,b_grav,collision_timescale,time_until_impact
GNNKGc2L,tpf-emulator,12D_LHS200,1.37073486,0.71309242,0.339095965,9.29217899,911.666,0.1908965344,0.522606892,128.165396,170.559061,698.005,0.240909832,0.0574261054,3.04139706,295.94014300000003,0.33714923808200004,9.34583278163,1.8562477058000002,0.0115815014649,1.00577408073,345.17398630099996,1519.0,1.31270958638e-05,1.54041868135e-06,8.5217714007,1.9602360517700002,0.0014232720024500002,0.00324892570961,0.00477725608466,5.24644182953e+35,8.097005028e+33,9.19698564277e+35,13525,0.800266138392,0.9568959999999999,0.97001172306,4.42785484766,5.877986335680001,0.00031728241568299996,5.50086977949,2.3329074811399996e+34,9901,0.570662612937,0.860349,0.83194194059,4.955325311619999,6.00728472654,3.297075996e-05,52.9356694876,1.33504299908e+33,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,23426,1.37092875133,1.0,0.0,1.0,1.0,0.0,0.0,0.201400153675,5.24454671784e+35,0.422650046956,0.15047803332499998,31.6097757493,-23.5839783297,99.1467681841,1.37073486,1.0,0.21171508627799998,1.25699945759,3.7924498451999997,9.49248678661e+35,0.00451003038962,1.40718365013,0.0673207261796,0.049112872331600006,1.30341413382,0.950887127668,0.0133066089903,0.009707646152860001,1.0,0.0357217960792,0.026060325101200002,super-catastrophic disruption
yw4j2ZNI,tpf-emulator,12D_LHS200,1.04220049,0.896563307,0.172070668,4.91832011,677.221,0.1434496096,0.330358714,69.3219543,233.44579900000002,633.094,0.3475551056,0.043410549400000005,89.1150302,0.884978657,0.16862060755199998,5.01895135506,1.68818248617,0.04133961398719999,1.02046049114,672.705246164,3041.0,2.94086340302e-06,1.05214931644e-06,2.7951008065700003,1.78912620742,0.0013302035322099999,0.00282522054859,0.00389822410466,9.27425661461e+34,1.4590774871e+33,1.76548323946e+35,11161,0.549567889101,0.8702409999999999,0.857938766471,4.3771198688,5.24711795179,0.000188922199113,9.23834922622,7.82714715151e+33,10717,0.492711152465,0.804937,0.77757371153,5.19867862417,6.48202333697,2.57100372379e-05,67.8851312366,7.58608003726e+32,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,21878,1.04227904157,1.0,0.0,1.0,1.0,0.0,0.0,0.22607185300299998,9.01517687635e+34,0.489852820185,-0.104100633628,41.4835816807,-22.2585482803,102.881319016,1.04220049,1.0,0.239936501335,1.13295609616,3.9380723468900003,1.80686359757e+35,0.00138985994646,3.4117192308399997,0.332883242679,0.31940422776,0.709317247321,0.6805957722399999,0.0538596860265,0.051678814722600004,1.0,0.0260089685256,0.0249558206652,super-catastrophic disruption
VN78kWqx,tpf-emulator,12D_LHS200,1.48180865,0.9985703640000001,0.296808792,1.31497881,879.33,0.164737516,0.24745503800000002,59.390915299999996,102.415797,847.0930000000001,0.2450706752,0.485068806,99.27014150000001,91.06424059999999,0.236254603453,1.65201975495,1.90841589542,0.5783123820880001,1.2563090312799998,2116.14419375,10866.0,3.77997588983e-07,1.42890440608e-06,0.264536652959,2.0118144735,0.00147204858217,0.00337980236048,0.0045361033912700004,7.84564318917e+34,1.89752306854e+32,1.46181716195e+35,10081,0.7405201298340001,0.942732,0.919945604505,4.6967448743,6.312435077509999,0.000297314581524,5.87031165121,1.83212620529e+34,9589,0.741567841201,0.924607,0.921457006388,4.67709945638,5.73127443299,0.000144831058551,12.0507940041,9.28832722727e+33,18861,1.42142864346,0.959071709127,0.210699326653,44.3014398607,0.000209244147233,8.34111383793,0.375907958221,0.624092041779,0.624092041779,0.0,0.0,7.31338239309e+34,0.48746089815,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,809,0.0606593275777,0.0409282908729,0.0,1.0,1.0,0.0,0.0,0.0,5.38154255391e+33,0.48825710753999996,0.966966214326,47.9997814476,-38.760546037800005,94.1679228136,1.48180865,1.0,0.204875363268,1.294100938,3.7571568744599997,1.65169459155e+35,0.0006848956728330002,11.564857000999998,1.22343770639,0.82563811892,0.258370943614,0.17436188108,1.0449079747,0.705157156898,0.290538585992,0.011497386192100001,0.00775902218688,partial accretion
fwPQ7cKS,tpf-emulator,12D_LHS200,0.518178082,0.42772237,0.15883915099999998,3.21198,519.0319999999999,0.8493964048,0.830923583,46.391742,223.418585,329.49800000000005,0.6755888872,0.541407925,31.16263,65.44237779999999,0.151659029078,3.3640474908099995,1.27551445316,0.09692913457869999,1.04734384735,810.68930033,3255.0,1.1294563438700001e-06,7.53325697814e-07,1.4992935288799998,1.41737107644,0.00105932192791,0.00207416484462,0.00359505404518,2.48710390007e+34,1.88133789085e+32,1.92689361129e+34,22837,0.36329700163900003,0.630666,0.678151863256,6.242298305349999,9.30163854994,0.0006578567198539999,2.65305377192,1.0216774326e+34,10177,0.155335853601,0.524119,0.509112632944,4.12120137085,6.9670426749,0.0003575762354080001,4.880999012709999,1.40297771938e+33,2615,0.0408224416709,0.0787116382203,0.988145315488,7.54618006508,1.24278318306e-05,140.437147507,0.0,1.0,1.0,0.0,0.0,9.27506845523e+31,0.103250478011,5230,0.0817229712737,0.157573841394,0.971128107075,8.35223848416,9.43999027094e-05,18.4886763853,0.0,1.0,1.0,0.0,0.0,7.97531994335e+32,0.0504780114723,25169,0.39608744229599996,0.763714520385,0.0,1.0,1.0,0.0,0.0,0.728793356907,1.8981891677500001e+34,0.38313004092299996,-1.5713390985299998,45.9899505736,-15.176173593,108.815459819,0.518178082,1.0,0.797326503176,0.747615860602,6.814204756390001,3.07934591403e+34,0.00109407106151,14.467759127699999,0.225618017243,0.435406330527,0.29256006475699997,0.564593669473,0.370638518425,0.715272473499,0.9158772337350001,0.0038826200940799997,0.007492829644770001,disruption
oHPqMhux,tpf-emulator,12D_LHS200,0.337122455,0.546639564,0.885180874,2.09669889,390.406,0.1527677936,0.093846524,38.242481299999994,300.704119,298.309,0.6311894720000001,0.1951057,150.639982,117.105461,0.79896219796,2.3229606616,1.13310098485,0.227471959864,1.1079133359,1269.02690492,6636.0,3.5009421082199995e-07,4.90063875517e-06,0.0714384855347,1.2281548096600001,0.000815653230594,0.005506186261869999,0.00878650540091,3.06169852921e+34,3.67888222472e+31,4.71961191211e+34,17917,0.21798131137899998,0.667269,0.655283874624,3.97137121302,4.51074633211,4.96960514167e-05,35.1200790051,4.8097065333e+32,9445,0.119189942466,0.49125100000000005,0.456202364247,6.6215462475,7.13857501421,0.00012180758391299998,14.328576234200002,3.08569067719e+32,9153,0.115135992827,0.341476301773,0.663498306566,13.7723199731,5.00739257332e-05,34.8550513354,0.627444553698,0.372555446302,0.372555446302,0.0,0.0,1.30533834504e+32,0.0246913580247,17690,0.215578135882,0.6393728214459999,0.138439796495,16.8958964422,8.22033663402e-05,21.2318464523,0.754833239118,0.245166760882,0.245166760882,0.0,0.0,1.01548260655e+33,0.015828151498,519,0.00645712513638,0.019150876780700002,0.0,1.0,1.0,0.0,0.0,0.0,1.48102230702e+32,0.458574181118,-0.477100499414,40.3881142835,-1.58715395982,92.1258908083,0.337122455,1.0,0.32185969049400004,0.751734570738,4.36079600295,4.785683763610001e+34,0.0025849394556199997,0.682230117728,0.321826782725,0.9546287349060001,0.0152956722749,0.0453712650939,0.21797092409000002,0.646563054041,0.24890046568799998,0.595776221758,1.7672398053599998,hit-and-run
vm8wuN7o,tpf-emulator,12D_LHS200,1.55236822,0.535303334,0.8946652279999999,9.41194032,1095.94,0.23194009920000003,0.791249394,58.3061463,59.6341922,674.3760000000001,0.23595177120000002,0.333871925,74.1896881,40.3637461,0.8896578061939999,9.46491524459,1.99614041009,0.011288641226600001,1.0056284807200002,337.97603693599996,1451.0,1.55052223689e-05,8.60442140969e-05,0.18020063907499997,2.04325294776,0.0013340964453699999,0.022987298125200003,0.0369322958079,1.7653675370099998e+36,9.73295932954e+33,2.6895884854e+36,19957,1.01206117089,1.01194,1.11369936811,3.77095779311,6.196555861159999,0.000512506307744,3.4054785777700003,5.79901232605e+34,9901,0.541314264011,0.848692,0.8338830462350001,4.7113289830400005,5.90766088087,0.00019690169933200003,8.8639623625,7.35933907473e+33,8290,0.45402069732600003,0.29228008060800004,0.273703256936,8.45396230397,0.000125799952658,13.8738466519,0.344270205066,0.655729794934,0.655729794934,0.0,0.0,5.19311461159e+33,0.0,18783,0.9534303745780001,0.61377974259,0.233881701539,10.5932780813,0.000385793639662,4.52399695735,0.679657136773,0.320342863227,0.320342863227,0.0,0.0,5.18426199862e+34,0.0,2785,0.145924362995,0.0939401768026,0.0,1.0,1.0,0.0,0.0,0.0,6.60832548757e+34,0.42154398563699996,-0.231055495012,17.1659580179,12.2928029423,90.9759937634,1.55236822,1.0,0.233338820449,1.29763080807,3.90402831352,2.81989852386e+36,0.0111009346581,1.20519980254,1.36781699875,0.8811163364,0.18455122124899997,0.1188836636,1.01111499312,0.6513370862,0.17912293449299999,0.488073210809,0.314405567263,hit-and-run
0Ld7R5h4,tpf-emulator,12D_LHS200,0.598469879,0.649260046,0.0634726863,2.25518343,518.554,0.8693032392,0.273216115,156.486291,136.308201,402.548,0.220455672,0.713694976,128.492653,106.743172,0.058024051072500006,2.46695202688,1.32216928465,0.19662387746100002,1.09390304756,1167.20779308,5448.0,6.004649197609999e-07,7.494729520090001e-07,0.801182908804,1.4870925073299999,0.0011087127036900001,0.00222357891275,0.00336208765081,4.79537843946e+33,1.25056746522e+32,1.23423811497e+34,15337,0.362979590287,0.624949,0.586683165401,9.60717190521,9.88339580039,0.000208357565039,8.376606108210002,2.75455891226e+33,9901,0.23540980781800003,0.67182,0.7103724524160001,3.3247796583700002,5.0264169673,0.000407626023102,4.28169241678,4.68823374134e+33,20026,0.468643183711,0.7831742761399999,0.797063817038,20.1424118549,5.1183134327e-05,34.0996946542,0.227104763807,0.772895236193,0.772895236193,0.0,0.0,2.28316077897e+33,0.269749325876,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,5212,0.129746214394,0.21682572385999999,0.0,1.0,1.0,0.0,0.0,0.0368380660015,3.06547832929e+33,0.136799693016,-1.0563753763200001,47.0914069397,-25.640758341199998,105.889131263,0.598469879,1.0,0.613873052585,0.824488982775,5.8675849513400005,6.24661807526e+33,0.00015799962203499998,53.5424268618,0.33220719532299997,0.555094261182,0.266262683677,0.44490573881800005,0.559493020256,0.934872480451,0.610222196184,0.00102570680906,0.0017138820934100001,disruption
PkOL2O1w,tpf-emulator,12D_LHS200,1.15781425,0.585946427,0.0785621749,5.34781349,850.257,0.8377603631999999,0.720412893,127.29270700000001,7.439120599999999,575.859,0.6794026759999999,0.686999562,174.886621,147.199221,0.07722366876739999,5.440506329730001,1.58628058318,0.034966124142900006,1.0173328482600001,490.52682318,2015.0,4.9779938510099995e-06,1.1665755556e-06,4.26718511896,1.85297765914,0.0013854170952800002,0.00272038698294,0.0042458753891,3.2565636950200003e+34,2.25186650977e+33,6.077844854860001e+34,17113,0.729750907562,0.7752399999999999,0.803006561926,7.55648153011,10.154704607000001,0.000584097459896,2.98807882559,2.55366294535e+34,10177,0.42799649174599996,0.7049529999999999,0.7514386559999999,5.01995561915,7.847764702619999,0.000490108041522,3.5611112328900005,9.870527674390001e+33,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,27290,1.15774739931,1.0,0.0,1.0,1.0,0.0,0.0,0.743202638329,3.25687089435e+34,0.372920483694,0.7358374116349999,44.1803534043,-1.38151341721,108.22656940899999,1.15781425,1.0,0.7792532664759999,0.9818836523819999,6.720946855019999,5.864468896e+34,0.000540620915003,24.7275898318,0.263168012321,0.227297264929,0.8946462376790001,0.772702735071,0.031720163875099995,0.0273965913575,1.0,0.029634054898,0.025594826543200003,super-catastrophic disruption
Rjkd1x0A,tpf-emulator,12D_LHS200,0.80016873,0.936983608,0.101877915,4.88040356,567.001,0.66611182,0.285460944,122.260107,306.171019,536.524,0.68819118,0.124760945,49.0965484,141.40492,0.09980434024589999,4.9818007696499995,1.30937744797,0.0419844559204,1.02077639859,533.71887467,2651.0,2.7774730465099997e-06,8.70390654759e-07,3.1910648756700004,1.6382659750100002,0.00122067489222,0.00259686921567,0.00354216109692,3.1306068341799997e+34,1.0280318433e+33,5.60102135872e+34,11629,0.413461918649,0.7009989999999999,0.663952646064,7.526317677410001,8.3546480216,0.00019553286201700001,8.92601496236,3.48262296891e+33,9469,0.38714498453,0.682894,0.629337793308,8.17056064787,9.34065554608,8.57263457882e-05,20.3593100341,1.33862194782e+33,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,0,0.0,0.0,None,None,None,None,None,None,None,None,None,0.0,None,21098,0.800606903178,1.0,0.0,1.0,1.0,0.0,0.0,0.7133377571330001,3.11727218988e+34,0.44881031377400005,0.137725513261,45.76946486479999,-33.2408987261,104.7829975,0.80016873,1.0,0.676792343216,0.892143987321,6.192248491,6.16033231171e+34,0.000995349870683,5.328593827280001,0.233496056993,0.291808525176,0.566672673007,0.708191474824,0.0338989996605,0.0423648143068,1.0,0.0201649929037,0.0252009259393,super-catastrophic disruption
vvEsZkAp,tpf-emulator,12D_LHS200,1.32542845,0.833981047,0.470814678,2.20625312,844.7460000000001,0.39471012240000003,0.69890538,81.8659038,333.023861,762.05,0.4011527368,0.448862232,145.110695,201.618089,0.428821771372,2.42230320759,1.8263849598700002,0.20544204347199999,1.09792624683,1367.68135824,6125.0,8.832691171489999e-07,1.8085744188e-06,0.488378641193,1.9383966437400002,0.0013637782538900001,0.00364246685979,0.00512431943959,1.60313827673e+35,4.57932863319e+32,2.99204086824e+35,10465,0.722751302327,0.8863719999999999,0.924785134265,4.4982875177,7.627454863,0.000457429103048,3.8155186024699996,2.5648416005299997e+34,9985,0.6027178322510001,0.841443,0.8329608476970001,5.081074628430001,7.50572778378,0.00028414062155,6.1424841068900005,1.12050193929e+34,8629,0.526639596235,0.397323168451,0.520570170356,24.0753440253,7.02545460039e-05,24.8429368812,0.268281376753,0.731718623247,0.731718623247,0.0,0.0,7.80435845556e+33,0.149843550817,9101,0.610560132848,0.460637005359,0.493242500824,23.6842139072,0.000190161557932,9.17813921474,0.281837160752,0.718162839248,0.718162839248,0.0,0.0,1.5198494472099998e+34,0.131743764421,2720,0.188269405495,0.142039826189,0.0,1.0,1.0,0.0,0.0,0.012132352941199999,3.98787921205e+34,0.466911764706,-1.24940555501,41.5414469248,-14.972150214600001,101.777493833,1.32542845,1.0,0.39763982459700004,1.1529822194,4.75182149492,3.0097826652100003e+35,0.00175774849035,6.923326366739999,0.918668344824,0.69311047671,0.406760105176,0.30688952329,0.722705642007,0.5452619053159999,0.364631950922,0.8390587522949999,0.633047187342,hit-and-run
